Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,OBČANÉ 2011-SPRAVEDL. PRO LIDI,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
541150,Kamenný Újezd,645,413,413,"13,31 %","0,00 %","0,00 %","6,05 %","0,00 %","5,56 %","6,29 %","0,96 %","0,72 %","1,93 %","0,24 %","0,24 %","10,89 %","0,00 %","0,00 %","4,60 %","35,35 %","0,24 %","3,38 %","0,00 %","0,24 %","0,24 %","0,24 %","8,95 %","0,48 %"
559903,Kařez,511,287,286,"13,28 %","0,00 %","0,00 %","6,99 %","0,00 %","5,24 %","12,23 %","1,39 %","0,34 %","2,79 %","0,00 %","0,00 %","9,79 %","0,00 %","0,00 %","4,19 %","29,72 %","0,69 %","1,04 %","0,00 %","1,04 %","0,00 %","0,34 %","10,13 %","0,69 %"
530361,Kařízek,42,40,38,"7,89 %","0,00 %","0,00 %","15,78 %","0,00 %","7,89 %","0,00 %","0,00 %","2,63 %","2,63 %","2,63 %","0,00 %","13,15 %","0,00 %","0,00 %","5,26 %","36,84 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","5,26 %","0,00 %"
559911,Klabava,376,268,267,"8,23 %","0,00 %","0,00 %","5,61 %","0,37 %","4,49 %","3,74 %","1,49 %","0,74 %","0,00 %","0,37 %","0,00 %","7,49 %","0,00 %","0,37 %","6,36 %","49,43 %","0,00 %","2,24 %","0,00 %","0,00 %","0,00 %","0,74 %","7,86 %","0,37 %"
559920,Kladruby,149,85,85,"3,52 %","0,00 %","0,00 %","9,41 %","0,00 %","5,88 %","15,29 %","0,00 %","1,17 %","0,00 %","0,00 %","0,00 %","7,05 %","0,00 %","0,00 %","2,35 %","43,52 %","0,00 %","4,70 %","0,00 %","0,00 %","0,00 %","0,00 %","7,05 %","0,00 %"
579033,Kornatice,149,93,91,"20,87 %","0,00 %","0,00 %","4,39 %","0,00 %","6,59 %","5,49 %","0,00 %","0,00 %","2,19 %","0,00 %","1,09 %","6,59 %","0,00 %","0,00 %","13,18 %","26,37 %","0,00 %","2,19 %","0,00 %","2,19 %","0,00 %","0,00 %","8,79 %","0,00 %"
567001,Lhota pod Radčem,249,164,164,"14,02 %","0,00 %","0,00 %","6,70 %","0,00 %","4,26 %","10,97 %","2,43 %","1,21 %","0,60 %","0,00 %","0,00 %","6,70 %","0,00 %","0,00 %","3,65 %","32,92 %","0,00 %","3,65 %","0,00 %","0,00 %","0,60 %","0,00 %","12,19 %","0,00 %"
559946,Lhotka u Radnic,49,37,37,"0,00 %","0,00 %","0,00 %","5,40 %","0,00 %","0,00 %","8,10 %","0,00 %","2,70 %","0,00 %","0,00 %","0,00 %","2,70 %","0,00 %","0,00 %","0,00 %","51,35 %","0,00 %","2,70 %","0,00 %","2,70 %","0,00 %","0,00 %","21,62 %","2,70 %"
559954,Liblín,198,114,109,"2,75 %","0,00 %","0,00 %","12,84 %","0,00 %","3,66 %","19,26 %","2,75 %","2,75 %","0,00 %","0,00 %","0,00 %","6,42 %","0,00 %","0,00 %","0,00 %","35,77 %","1,83 %","1,83 %","0,00 %","0,00 %","0,00 %","0,00 %","6,42 %","3,66 %"
559962,Líšná,145,97,97,"10,30 %","0,00 %","0,00 %","7,21 %","0,00 %","3,09 %","5,15 %","4,12 %","0,00 %","5,15 %","0,00 %","0,00 %","10,30 %","0,00 %","0,00 %","8,24 %","27,83 %","0,00 %","5,15 %","0,00 %","0,00 %","0,00 %","2,06 %","11,34 %","0,00 %"
553611,Litohlavy,426,276,274,"11,67 %","0,00 %","0,00 %","8,02 %","0,36 %","2,91 %","7,66 %","1,09 %","0,72 %","1,09 %","0,72 %","0,00 %","13,13 %","0,00 %","0,00 %","5,10 %","30,29 %","0,00 %","4,74 %","0,00 %","0,36 %","0,00 %","0,00 %","10,94 %","1,09 %"
579009,Medový Újezd,196,138,138,"7,97 %","0,00 %","0,00 %","6,52 %","0,72 %","4,34 %","10,14 %","0,72 %","0,00 %","1,44 %","0,72 %","0,00 %","8,69 %","0,00 %","0,00 %","6,52 %","42,75 %","0,72 %","1,44 %","0,00 %","0,00 %","0,00 %","0,00 %","7,24 %","0,00 %"
579084,Mešno,75,55,55,"9,09 %","0,00 %","0,00 %","0,00 %","0,00 %","3,63 %","7,27 %","0,00 %","1,81 %","1,81 %","0,00 %","0,00 %","18,18 %","0,00 %","0,00 %","5,45 %","36,36 %","3,63 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","12,72 %","0,00 %"
