Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,Česká str.sociálně demokrat.,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
539554,Odrava,185,99,99,"10,10 %","1,01 %","6,06 %","11,11 %","7,07 %","3,03 %","1,01 %","2,02 %","0,00 %","0,00 %","8,08 %","0,00 %","2,02 %","34,34 %","1,01 %","0,00 %","0,00 %","0,00 %","0,00 %","12,12 %","1,01 %"
538922,Okrouhlá,199,108,107,"6,54 %","0,00 %","7,47 %","5,60 %","11,21 %","0,93 %","1,86 %","6,54 %","0,00 %","0,93 %","6,54 %","0,00 %","0,00 %","34,57 %","0,93 %","1,86 %","0,93 %","0,00 %","0,00 %","14,01 %","0,00 %"
539473,Ovesné Kladruby,97,52,52,"13,46 %","1,92 %","1,92 %","0,00 %","5,76 %","5,76 %","1,92 %","0,00 %","0,00 %","0,00 %","34,61 %","1,92 %","1,92 %","23,07 %","1,92 %","3,84 %","0,00 %","0,00 %","0,00 %","1,92 %","0,00 %"
554740,Plesná,1 565,723,719,"4,72 %","0,41 %","14,04 %","2,50 %","10,15 %","0,69 %","1,25 %","0,69 %","0,83 %","0,00 %","6,25 %","0,00 %","6,11 %","39,08 %","0,00 %","0,55 %","0,13 %","0,13 %","0,00 %","11,82 %","0,55 %"
538817,Podhradí,164,79,79,"10,12 %","1,26 %","2,53 %","2,53 %","8,86 %","1,26 %","0,00 %","3,79 %","0,00 %","0,00 %","3,79 %","1,26 %","1,26 %","41,77 %","1,26 %","5,06 %","0,00 %","0,00 %","0,00 %","12,65 %","2,53 %"
538868,Pomezí nad Ohří,206,132,131,"6,10 %","0,00 %","5,34 %","12,97 %","12,21 %","0,00 %","0,00 %","0,76 %","0,00 %","0,00 %","12,21 %","0,00 %","5,34 %","32,06 %","0,00 %","2,29 %","2,29 %","0,00 %","0,00 %","8,39 %","0,00 %"
577979,Poustka,122,80,79,"7,59 %","1,26 %","6,32 %","11,39 %","13,92 %","1,26 %","0,00 %","1,26 %","0,00 %","1,26 %","7,59 %","0,00 %","0,00 %","29,11 %","0,00 %","2,53 %","0,00 %","0,00 %","0,00 %","15,18 %","1,26 %"
539538,Prameny,92,59,57,"5,26 %","0,00 %","1,75 %","3,50 %","1,75 %","0,00 %","1,75 %","0,00 %","0,00 %","1,75 %","21,05 %","0,00 %","1,75 %","31,57 %","1,75 %","1,75 %","0,00 %","0,00 %","1,75 %","24,56 %","0,00 %"
554812,Skalná,1 511,777,770,"7,66 %","0,12 %","10,77 %","3,11 %","7,27 %","0,90 %","0,64 %","0,51 %","0,25 %","0,00 %","7,79 %","0,00 %","1,68 %","42,20 %","0,12 %","2,33 %","0,12 %","0,12 %","0,38 %","13,89 %","0,00 %"
539112,Stará Voda,389,196,196,"3,57 %","0,00 %","5,61 %","3,06 %","16,83 %","2,04 %","0,51 %","1,02 %","0,00 %","0,00 %","10,71 %","0,00 %","3,06 %","30,61 %","0,51 %","2,04 %","0,51 %","0,51 %","0,00 %","18,87 %","0,51 %"
